country,year,start,end,protest_duration,region,location,participants_category,protesterdemand1,stateresponse1,total protests
Peru,2018,2018-10-15,2018-10-15,0 days,South America,Lima,1000-1999,police brutality,ignore,11
Peru,2018,2018-12-31,2018-12-31,0 days,South America,Lima; national,100-999,"political behavior, process",ignore,11
Brazil,2016,2016-01-08,2016-01-08,0 days,South America,"S o Paulo, Rio de Janeiro and Belo Horizonte",1000-1999,"price increases, tax policy",crowd dispersal,37
Brazil,2016,2016-01-12,2016-01-12,0 days,South America,"Avenida Paulista, S o Paulo",100-999,"price increases, tax policy",crowd dispersal,37
Brazil,2016,2016-03-13,2016-03-13,0 days,South America,S o Paulo; Rio de Janeiro; national,>10000,removal of politician,ignore,37
Brazil,2016,2016-03-16,2016-03-18,2 days,South America,Bras lia; S o Paulo; Brazil s National Congress; national,>10000,removal of politician,crowd dispersal,37
Brazil,2016,2016-03-18,2016-03-18,0 days,South America,national,>10000,"political behavior, process",crowd dispersal,37
Brazil,2016,2016-04-17,2016-04-17,0 days,South America,Brasilia; national,>10000,"political behavior, process",crowd dispersal,37
Brazil,2016,2016-04-17,2016-04-17,0 days,South America,Brasilia; national,>10000,removal of politician,crowd dispersal,37
Brazil,2016,2016-05-03,2016-05-03,0 days,South America,Brasilia,50-99,"political behavior, process",ignore,37
Brazil,2016,2016-05-12,2016-05-12,0 days,South America,"Presidential Palace, Brasilia",100-999,"political behavior, process",ignore,37
Brazil,2016,2016-05-15,2016-07-13,59 days,South America,Rio de Janeiro,50-99,labor wage dispute,ignore,37
Brazil,2016,2016-05-15,2016-05-23,8 days,South America,national,100-999,removal of politician,ignore,37
Brazil,2016,2016-05-27,2016-05-29,2 days,South America,Rio de Janeiro; Sao Paulo; Recife,5000-10000,"political behavior, process",crowd dispersal,37
Brazil,2016,2016-07-04,2016-07-04,0 days,South America,"Rio international airport, Rio de Janeiro",50-99,labor wage dispute,ignore,37
Brazil,2016,2016-07-29,2016-07-29,0 days,South America,"Copacabana, Rio de Janeiro",100-999,removal of politician,ignore,37
Brazil,2016,2016-07-29,2016-07-29,0 days,South America,national,2000-4999,"political behavior, process",ignore,37
Brazil,2016,2016-08-02,2016-08-02,0 days,South America,Itaborai; Sao Goncalo; Niteroi; Angra dos Reis,100-999,labor wage dispute,crowd dispersal,37
Brazil,2016,2016-08-03,2016-08-10,7 days,South America,"Copacabana & Belo Horizonte, Rio de Janeiro",2000-4999,removal of politician,crowd dispersal,37
Brazil,2016,2016-08-29,2016-08-31,2 days,South America,"Avenida Paulista, S o Paulo; Brasilia; Rio de Janeiro; national",5000-10000,"political behavior, process",crowd dispersal,37
Brazil,2016,2016-09-01,2016-09-13,12 days,South America,S o Paulo; national,2000-4999,removal of politician,ignore,37
Brazil,2016,2016-11-08,2016-11-08,0 days,South America,Rio de Janeiro,2000-4999,labor wage dispute,crowd dispersal,37
Brazil,2016,2016-12-04,2016-12-04,0 days,South America,national,2000-4999,"political behavior, process",ignore,37
Brazil,2016,2016-12-06,2016-12-06,0 days,South America,Rio de Janeiro,50-99,labor wage dispute,crowd dispersal,37
Brazil,2016,2016-12-13,2016-12-13,0 days,South America,national; 15 cities,2000-4999,labor wage dispute,crowd dispersal,37
Brazil,2017,2017-02-04,2017-02-11,7 days,South America,Espirito Santo,50-99,labor wage dispute,crowd dispersal,37
Brazil,2017,2017-03-26,2017-03-26,0 days,South America,national; at least 18 states,>10000,"political behavior, process",ignore,37
Brazil,2017,2017-04-02,2017-04-02,0 days,South America,Copacabana Beach,50-99,"political behavior, process",ignore,37
Brazil,2017,2017-04-26,2017-04-26,0 days,South America,Brasilia,50-99,land farm issue,crowd dispersal,37
Brazil,2017,2017-04-28,2017-04-28,0 days,South America,Rio de Janeiro; national,2000-4999,labor wage dispute,crowd dispersal,37
Brazil,2017,2017-05-11,2017-05-11,0 days,South America,Curitiba,100-999,"political behavior, process",crowd dispersal,37
Brazil,2017,2017-05-18,2017-05-25,7 days,South America,national,>10000,"political behavior, process",crowd dispersal,37
Brazil,2017,2017-06-30,2017-06-30,0 days,South America,S o Paulo,100-999,labor wage dispute,ignore,37
Brazil,2018,2018-03-18,2018-03-18,0 days,South America,Rio de Janeiro,2000-4999,"political behavior, process",ignore,37
Brazil,2018,2018-04-07,2018-04-07,0 days,South America,Sao Bernardo do Campo,50-99,"political behavior, process",ignore,37
Brazil,2018,2018-05-20,2018-05-28,8 days,South America,national,2000-4999,"price increases, tax policy",crowd dispersal,37
Brazil,2018,2018-08-18,2018-08-18,0 days,South America,Pacaraima,50-99,"political behavior, process",ignore,37
Brazil,2018,2018-09-03,2018-09-03,0 days,South America,RIO DE JANEIRO,50-99,"political behavior, process",crowd dispersal,37
Brazil,2018,2018-09-29,2018-09-29,0 days,South America,Brasilia; national,>10000,removal of politician,ignore,37
Bolivia,2016,2016-02-15,2016-06-20,126 days,South America,"Blanco Galindo bridge, Cochabamba; LaPaz; national",5000-10000,"political behavior, process",crowd dispersal,9
Bolivia,2016,2016-08-22,2016-08-26,4 days,South America,Panduro,100-999,labor wage dispute,crowd dispersal,9
Bolivia,2016,2016-10-19,2016-10-19,0 days,South America,national,5000-10000,"political behavior, process",ignore,9
Bolivia,2017,2017-04-15,2017-05-04,19 days,South America,La Paz,100-999,social restrictions,crowd dispersal,9
Bolivia,2017,2017-11-23,2018-01-12,50 days,South America,La Paz; national,100-999,labor wage dispute,crowd dispersal,9
Bolivia,2018,2018-05-24,2018-05-24,0 days,South America,La Paz,50-99,"political behavior, process",crowd dispersal,9
Bolivia,2018,2018-05-28,2018-05-28,0 days,South America,national,5000-10000,police brutality,crowd dispersal,9
Bolivia,2018,2018-06-10,2018-06-10,0 days,South America,La Paz,50-99,police brutality,crowd dispersal,9
Bolivia,2018,2018-12-05,2018-12-06,1 days,South America,national,5000-10000,"political behavior, process",ignore,9
Chile,2016,2016-05-15,2017-05-17,367 days,South America,Chiloe Island,50-99,"political behavior, process",ignore,16
Chile,2016,2016-05-21,2016-05-21,0 days,South America,Valparaiso,100-999,"political behavior, process",crowd dispersal,16
Chile,2016,2016-07-15,2016-08-15,31 days,South America,Santiago,>10000,labor wage dispute,ignore,16
Chile,2016,2016-09-01,2016-09-01,0 days,South America,Santiago,2000-4999,land farm issue,ignore,16
Chile,2016,2016-10-19,2016-10-19,0 days,South America,Santiago; national,>10000,"political behavior, process",ignore,16
Chile,2016,2016-12-06,2016-12-29,23 days,South America,Curanilahue,50-99,labor wage dispute,ignore,16
Chile,2017,2017-04-01,2017-04-15,14 days,South America,Santiago; national,100-999,"political behavior, process",ignore,16
Chile,2017,2017-07-01,2017-07-15,14 days,South America,Santiago,50-99,social restrictions,ignore,16
Chile,2017,2017-11-19,2017-11-19,0 days,South America,Santiago,50-99,"political behavior, process",ignore,16
Chile,2018,2018-04-22,2018-04-22,0 days,South America,Santiago,>10000,labor wage dispute,ignore,16
Chile,2018,2018-05-01,2018-05-01,0 days,South America,Santiago,>10000,labor wage dispute,ignore,16
Chile,2018,2018-05-11,2018-05-11,0 days,South America,Santiago,>10000,"political behavior, process",ignore,16
Chile,2018,2018-05-16,2018-05-16,0 days,South America,Santiago,5000-10000,"political behavior, process",ignore,16
Chile,2018,2018-06-03,2018-06-03,0 days,South America,Santiago,2000-4999,"political behavior, process",ignore,16
Chile,2018,2018-11-15,2018-11-15,0 days,South America,Santiago,100-999,police brutality,crowd dispersal,16
Chile,2018,2018-11-25,2018-11-25,0 days,South America,national,2000-4999,"political behavior, process",ignore,16
Argentina,2016,2016-10-19,2016-10-19,0 days,South America,"Plaza de Mayo, Buenos Aires; national",>10000,"political behavior, process",ignore,14
Argentina,2017,2017-02-08,2017-02-08,0 days,South America,Buenos Aires; C rdoba; Rosario; Mar del Plata,100-999,"political behavior, process",ignore,14
Argentina,2017,2017-04-01,2017-04-15,14 days,South America,national,5000-10000,labor wage dispute,ignore,14
Argentina,2017,2017-05-10,2017-05-10,0 days,South America,Buenos Aires; national,>10000,"political behavior, process",ignore,14
Argentina,2017,2017-08-07,2017-08-07,0 days,South America,Buenos Aires,50-99,"political behavior, process",crowd dispersal,14
Argentina,2017,2017-09-01,2017-09-01,0 days,South America,Buenos Aires,>10000,police brutality,crowd dispersal,14
Argentina,2017,2017-10-01,2017-10-01,0 days,South America,Buenos Aires,>10000,police brutality,crowd dispersal,14
Argentina,2017,2017-12-10,2017-12-20,10 days,South America,Buenos Aires,>10000,labor wage dispute,crowd dispersal,14
Argentina,2018,2018-04-10,2018-04-10,0 days,South America,Buenos Aires,50-99,social restrictions,ignore,14
Argentina,2018,2018-04-15,2018-04-15,0 days,South America,Buenos Aires,5000-10000,"price increases, tax policy",ignore,14
Argentina,2018,2018-05-04,2018-05-04,0 days,South America,Buenos Aires,100-999,"price increases, tax policy",ignore,14
Argentina,2018,2018-05-25,2018-05-25,0 days,South America,Buenos Aires,5000-10000,"political behavior, process",ignore,14
Argentina,2018,2018-08-08,2018-08-08,0 days,South America,Buenos Aires,2000-4999,social restrictions,ignore,14
Argentina,2018,2018-08-08,2018-08-08,0 days,South America,Buenos Aires,2000-4999,social restrictions,ignore,14
United Kingdom,2016,2016-01-02,2016-01-02,0 days,Europe,National,100-999,"price increases, tax policy",ignore,80
United Kingdom,2016,2016-01-04,2016-01-04,0 days,Europe,Kings Cross station London,50-99,"price increases, tax policy",ignore,80
United Kingdom,2016,2016-01-27,2016-01-27,0 days,Europe,London Parliament,100-999,"political behavior, process",ignore,80
United Kingdom,2016,2016-01-30,2016-01-30,0 days,Europe,Dewsbury,100-999,"political behavior, process",ignore,80
United Kingdom,2016,2016-01-30,2016-01-30,0 days,Europe,"West Yorkshire, Dewsbury",50-99,"political behavior, process",ignore,80
United Kingdom,2016,2016-01-30,2016-01-30,0 days,Europe,Dover,50-99,"political behavior, process",arrests,80
United Kingdom,2016,2016-01-30,2016-01-30,0 days,Europe,Dover,50-99,"political behavior, process",arrests,80
United Kingdom,2016,2016-02-24,2016-02-24,0 days,Europe,Holyrood London,50-99,"price increases, tax policy",ignore,80
United Kingdom,2016,2016-03-10,2016-03-10,0 days,Europe,Holyrood Parliament,50-99,labor wage dispute,ignore,80
United Kingdom,2016,2016-04-07,2016-04-07,0 days,Europe,South London Carnegie Library,50-99,"political behavior, process",ignore,80
United Kingdom,2016,2016-04-16,2016-04-16,0 days,Europe,Trafalgar Square,50-99,"political behavior, process",ignore,80
United Kingdom,2016,2016-04-27,2016-04-27,0 days,Europe,Lancashire,50-99,"political behavior, process",ignore,80
United Kingdom,2016,2016-04-27,2016-04-27,0 days,Europe,National,2000-4999,labor wage dispute,accomodation,80
United Kingdom,2016,2016-04-30,2016-04-30,0 days,Europe,London,50-99,"political behavior, process",ignore,80
United Kingdom,2016,2016-06-15,2016-06-15,0 days,Europe,Thames river London,100-999,"political behavior, process",ignore,80
United Kingdom,2016,2016-06-15,2016-06-15,0 days,Europe,Thames river London,50-99,"political behavior, process",ignore,80
United Kingdom,2016,2016-06-15,2016-06-15,0 days,Europe,Thames river london,100-999,"political behavior, process",ignore,80
United Kingdom,2016,2016-06-26,2016-06-26,0 days,Europe,Birmingham,50-99,"political behavior, process",arrests,80
United Kingdom,2016,2016-06-28,2016-06-28,0 days,Europe,"Cardiff, London, Bristol, Brighton, Oxford, Cambridge, Exeter, and Leicester",2000-4999,"political behavior, process",ignore,80
United Kingdom,2016,2016-07-02,2016-07-02,0 days,Europe,London,2000-4999,"political behavior, process",ignore,80
United Kingdom,2016,2016-07-05,2016-07-05,0 days,Europe,"National, London",100-999,labor wage dispute,ignore,80
United Kingdom,2016,2016-07-11,2016-07-11,0 days,Europe,London,2000-4999,"political behavior, process",ignore,80
United Kingdom,2016,2016-07-11,2016-07-11,0 days,Europe,Victoria station in London,100-999,"political behavior, process",ignore,80
United Kingdom,2016,2016-07-18,2016-07-18,0 days,Europe,Parliament in London,50-99,"political behavior, process",ignore,80
United Kingdom,2016,2016-08-05,2016-08-05,0 days,Europe,"London, Nottingham, Leeds, Bristol, Cardiff, Huddersfield and Belfast, Manchester, national",2000-4999,"political behavior, process",arrests,80
United Kingdom,2016,2016-10-15,2016-10-15,0 days,Europe,London,50-99,"political behavior, process",ignore,80
United Kingdom,2016,2016-11-05,2016-11-05,0 days,Europe,Trafalgar square London,2000-4999,"political behavior, process",arrests,80
United Kingdom,2016,2016-11-08,2016-11-08,0 days,Europe,Royal Botanic Garden Edinburgh,100-999,"political behavior, process",ignore,80
United Kingdom,2016,2016-11-09,2016-11-09,0 days,Europe,"Dundee, Dunfermline, Glasgow, Edinburgh, Inverkeithing, Kirkcaldy, Motherwell, Stirling and Tweedbank",100-999,"political behavior, process",ignore,80
United Kingdom,2016,2016-11-15,2016-11-15,0 days,Europe,Devon,2000-4999,"political behavior, process",ignore,80
United Kingdom,2016,2016-11-15,2016-11-15,0 days,Europe,London,50-99,"political behavior, process",ignore,80
United Kingdom,2016,2016-11-15,2016-11-15,0 days,Europe,National,5000-10000,"political behavior, process",ignore,80
United Kingdom,2016,2016-12-07,2016-12-07,0 days,Europe,London Parliament,50-99,"political behavior, process",ignore,80
United Kingdom,2016,2016-12-16,2016-12-16,0 days,Europe,Queen Mary University of London,50-99,"political behavior, process",accomodation,80
United Kingdom,2016,2016-12-20,2017-01-02,13 days,Europe,Kirby Misperton,100-999,"political behavior, process",ignore,80
United Kingdom,2017,2017-01-01,2017-01-01,0 days,Europe,Duddon estuary Askamin Furness beach and Broughton in Furness square to Kirkby in Furness railway station,100-999,"political behavior, process",ignore,80
United Kingdom,2017,2017-01-03,2017-01-03,0 days,Europe,South London,1000-1999,"political behavior, process",ignore,80
United Kingdom,2017,2017-01-21,2017-01-21,0 days,Europe,"London, Manchester",>10000,social restrictions,ignore,80
United Kingdom,2017,2017-01-30,2017-01-30,0 days,Europe,"Downing Street London, Edinburgh, Cardiff, Manchester, Glasgow, Dundee, Aberdeen, St.Andrwes Birmingham, National",>10000,"political behavior, process",ignore,80
United Kingdom,2017,2017-02-03,2017-02-03,0 days,Europe,Bradford,100-999,"political behavior, process",ignore,80
United Kingdom,2017,2017-02-04,2017-02-04,0 days,Europe,London,2000-4999,"political behavior, process",ignore,80
United Kingdom,2017,2017-02-06,2017-02-06,0 days,Europe,Downing Street London,100-999,"political behavior, process",crowd dispersal,80
United Kingdom,2017,2017-02-06,2017-02-06,0 days,Europe,Downing street london,100-999,"political behavior, process",crowd dispersal,80
United Kingdom,2017,2017-02-20,2017-02-20,0 days,Europe,Parliament London,2000-4999,"political behavior, process",ignore,80
United Kingdom,2017,2017-02-20,2017-02-20,0 days,Europe,"Parliament Square London, Manchester, Liverpool, Cardiff, Newcastle, Edinburgh",2000-4999,"political behavior, process",accomodation,80
United Kingdom,2017,2017-03-04,2017-03-04,0 days,Europe,London,2000-4999,"political behavior, process",ignore,80
United Kingdom,2017,2017-03-25,2017-03-25,0 days,Europe,National,50-99,"political behavior, process",ignore,80
United Kingdom,2017,2017-05-07,2017-05-07,0 days,Europe,East London,100-999,"political behavior, process",ignore,80
United Kingdom,2017,2017-06-16,2017-06-16,0 days,Europe,London,50-99,"political behavior, process",crowd dispersal,80
United Kingdom,2017,2017-06-21,2017-06-21,0 days,Europe,"Shepherds Bush, west London",100-999,removal of politician,crowd dispersal,80
United Kingdom,2017,2017-06-25,2017-06-25,0 days,Europe,East London,50-99,police brutality,crowd dispersal,80
United Kingdom,2017,2017-07-28,2017-07-28,0 days,Europe,Northeast London,50-99,police brutality,crowd dispersal,80
United Kingdom,2017,2017-10-01,2017-10-01,0 days,Europe,Manchester,>10000,"political behavior, process",ignore,80
United Kingdom,2017,2017-10-28,2017-10-28,0 days,Europe,Wick; Thurso; Portree; Caithness,2000-4999,social restrictions,ignore,80
United Kingdom,2017,2017-11-21,2017-11-21,0 days,Europe,Glasgow,100-999,land farm issue,ignore,80
United Kingdom,2017,2017-11-23,2017-11-23,0 days,Europe,Holyrood,50-99,labor wage dispute,ignore,80
United Kingdom,2018,2018-01-02,2018-01-02,0 days,Europe,40 rail stations across the country,100-999,"price increases, tax policy",ignore,80
United Kingdom,2018,2018-02-05,2018-02-05,0 days,Europe,London,2000-4999,"political behavior, process",ignore,80
United Kingdom,2018,2018-02-08,2018-02-08,0 days,Europe,"Camborne police station, Cornwall",100-999,police brutality,ignore,80
United Kingdom,2018,2018-02-22,2018-03-06,12 days,Europe,The Jubilee building in Brighton; the Universities UK building in Tavistock Square in central London; Manchester University; Cambridge University; Oxford University,100-999,labor wage dispute,ignore,80
United Kingdom,2018,2018-02-26,2018-02-26,0 days,Europe,"Office of Ross Thomson, the Aberdeen South Conservative MP, and Oil & Gas UK office, Aberdeen South",50-99,labor wage dispute,ignore,80
United Kingdom,2018,2018-03-07,2018-03-07,0 days,Europe,"Downing Street, London",50-99,"political behavior, process",ignore,80
United Kingdom,2018,2018-03-13,2018-03-13,0 days,Europe,"National, including University of Edinburgh; University of Dundee",100-999,labor wage dispute,ignore,80
United Kingdom,2018,2018-03-13,2018-03-22,9 days,Europe,University of Aberdeen,50-99,labor wage dispute,ignore,80
United Kingdom,2018,2018-03-20,2018-03-20,0 days,Europe,University of London,50-99,labor wage dispute,crowd dispersal,80
United Kingdom,2018,2018-03-29,2018-03-29,0 days,Europe,Belfast; Derry,1000-1999,"political behavior, process",ignore,80
United Kingdom,2018,2018-05-26,2018-05-26,0 days,Europe,"Outside parliament and Downing Street, London",100-999,"political behavior, process",ignore,80
United Kingdom,2018,2018-06-09,2018-06-09,0 days,Europe,London,2000-4999,"political behavior, process",arrests,80
United Kingdom,2018,2018-06-23,2018-06-23,0 days,Europe,London,>10000,"political behavior, process",ignore,80
United Kingdom,2018,2018-06-23,2018-06-23,0 days,Europe,London,50-99,"political behavior, process",ignore,80
United Kingdom,2018,2018-08-18,2018-08-18,0 days,Europe,Dundee,2000-4999,"political behavior, process",ignore,80
United Kingdom,2018,2018-08-18,2018-08-18,0 days,Europe,Edinburgh,100-999,"political behavior, process",ignore,80
United Kingdom,2018,2018-08-29,2018-08-29,0 days,Europe,Home Office depot in Glasgow,50-99,"political behavior, process",accomodation,80
United Kingdom,2018,2018-09-10,2018-09-10,0 days,Europe,Belfast High Court,50-99,"political behavior, process",accomodation,80
United Kingdom,2018,2018-09-16,2018-09-16,0 days,Europe,Manchester,2000-4999,"political behavior, process",ignore,80
United Kingdom,2018,2018-10-20,2018-10-20,0 days,Europe,Central London,>10000,"political behavior, process",ignore,80
United Kingdom,2018,2018-10-22,2018-10-22,0 days,Europe,Glasgow city centre,5000-10000,labor wage dispute,accomodation,80
United Kingdom,2018,2018-10-27,2018-10-27,0 days,Europe,Glasgow,>10000,labor wage dispute,ignore,80
United Kingdom,2018,2018-11-15,2018-11-15,0 days,Europe,"Downing Street, London",50-99,"political behavior, process",arrests,80
United Kingdom,2018,2018-12-09,2018-12-09,0 days,Europe,London,2000-4999,"political behavior, process",ignore,80
Ireland,2016,2016-01-23,2016-01-23,0 days,Europe,"National, Dublin, Cork,",5000-10000,"price increases, tax policy",ignore,34
Ireland,2016,2016-02-20,2016-02-20,0 days,Europe,Dublin,>10000,"price increases, tax policy",ignore,34
Ireland,2016,2016-03-02,2016-03-02,0 days,Europe,Dublin s St Vincents hospital,50-99,labor wage dispute,ignore,34
Ireland,2016,2016-03-29,2016-03-29,0 days,Europe,Dublin,50-99,"political behavior, process",ignore,34
Ireland,2016,2016-04-03,2016-04-03,0 days,Europe,Dublin s Glasnevin Cemetery,100-999,"political behavior, process",crowd dispersal,34
Ireland,2016,2016-04-19,2016-04-19,0 days,Europe,Carrigaline Court Hotel in Cork,100-999,"political behavior, process",ignore,34
Ireland,2016,2016-04-20,2016-04-20,0 days,Europe,Finagles,50-99,"political behavior, process",ignore,34
Ireland,2016,2016-04-28,2016-04-28,0 days,Europe,"Kildare street Dublin, Galway",100-999,"political behavior, process",ignore,34
Ireland,2016,2016-05-06,2016-05-06,0 days,Europe,Limerick Circuit Civic Court,100-999,land farm issue,crowd dispersal,34
Ireland,2016,2016-05-11,2016-05-11,0 days,Europe,South Dublin Monkstown Educate Together primary school,100-999,"political behavior, process",ignore,34
Ireland,2016,2016-05-17,2016-05-17,0 days,Europe,Dublin,100-999,labor wage dispute,ignore,34
Ireland,2016,2016-05-28,2016-05-28,0 days,Europe,Dublin,1000-1999,land farm issue,ignore,34
Ireland,2016,2016-08-02,2016-08-02,0 days,Europe,"Foynes Port, Co Limerick",100-999,"price increases, tax policy",ignore,34
Ireland,2016,2016-09-19,2016-09-19,0 days,Europe,Dublin,50-99,"political behavior, process",ignore,34
Ireland,2016,2016-09-24,2016-09-24,0 days,Europe,Dublin,>10000,"political behavior, process",ignore,34
Ireland,2016,2016-10-03,2016-10-03,0 days,Europe,Dublin,50-99,"political behavior, process",ignore,34
Ireland,2016,2016-10-19,2016-10-19,0 days,Europe,Dublin,5000-10000,"political behavior, process",ignore,34
Ireland,2016,2016-11-12,2016-11-12,0 days,Europe,Sligo,50-99,"political behavior, process",accomodation,34
Ireland,2016,2016-12-14,2016-12-14,0 days,Europe,Russian embassy in Dublin,100-999,"political behavior, process",ignore,34
Ireland,2017,2017-01-03,2017-01-03,0 days,Europe,Department of finance dublin,100-999,land farm issue,ignore,34
Ireland,2017,2017-03-02,2017-03-02,0 days,Europe,Leinster House Dublin,50-99,"political behavior, process",ignore,34
Ireland,2017,2017-03-08,2017-03-08,0 days,Europe,"Garden of Remembrance in Parnell Square, Leinster House Dublin, Cork, Mayo, Kilkenny, Meath, Wexford, Waterford, Limerick",5000-10000,social restrictions,ignore,34
Ireland,2017,2017-03-14,2017-03-14,0 days,Europe,GPO in Dublin,50-99,"political behavior, process",ignore,34
Ireland,2017,2017-03-30,2017-03-30,0 days,Europe,Dail in Dublin,2000-4999,"political behavior, process",ignore,34
Ireland,2017,2017-09-30,2017-09-30,0 days,Europe,Dublin,>10000,"political behavior, process",ignore,34
Ireland,2018,2018-03-12,2018-03-12,0 days,Europe,Dublin,50-99,labor wage dispute,ignore,34
